home_ownership,annual_income,tax_liens,number_of_open_accounts,years_of_credit_history,maximum_open_credit,number_of_credit_problems,months_since_last_delinquent,bankruptcies,purpose,term,current_loan_amount,current_credit_balance,monthly_debt,credit_score,credit_default,credit_score_outlier,annual_income_outlier,current_loan_amount_outlier,maximum_open_credit_outlier,current_credit_balance_outlier,annual_income_na,years_in_current_job_na,months_since_last_delinquent_na,bankruptcies_na,credit_score_na,monthly_debt_categories,years_in_current_job,years_of_credit_history_categories,home_ownership_have_mortgage,home_ownership_home_mortgage,home_ownership_own_home,home_ownership_rent,purpose_business_loan,purpose_buy_a_car,purpose_buy_house,purpose_debt_consolidation,purpose_educational_expenses,purpose_home_improvements,purpose_major_purchase,purpose_medical_bills,purpose_moving,purpose_other,purpose_renewable_energy,purpose_small_business,purpose_take_a_trip,purpose_vacation,purpose_wedding,term_long_term,term_short_term
Home Mortgage,0.1708893871859236,-0.11095342154390785,-0.4341227023397134,1.5170871708540303,-0.4500940105624552,-0.3409788778582933,1.0678591308175283,-0.3370990397177327,debt consolidation,Long Term,1.4266231207820077,-0.2570319809088551,-0.40922912990164756,-1.1970860663095806,1,0,0,0,0,0,0,0,0,0,0,-0.7828677136193471,-1.102007330092422,1.451510527245306,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Rent,-0.46216757291100163,-0.11095342154390785,-1.0452953217017178,-0.826171449363225,-0.9120309491946208,-0.3409788778582933,-0.6983066109996929,-0.3370990397177327,debt consolidation,Short Term,0.0034074165612815598,-0.6923880353555497,-0.32395304416457665,-0.4323698299828324,1,0,0,0,0,0,0,0,1,0,0,-0.7828677136193471,-1.102007330092422,-0.7211203178198473,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Home Mortgage,0.5859627255688687,-0.11095342154390785,-0.026674289431710546,1.162047985972628,0.22919959797801656,-0.3409788778582933,1.2444757049992503,-0.3370990397177327,debt consolidation,Long Term,1.61044605651251,0.014760966328505277,-0.8026562629186947,-1.1071194502711397,0,0,0,0,0,0,0,0,0,0,0,-0.7828677136193471,1.1598351015959207,1.451510527245306,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Home Mortgage,-0.41685017403508673,-0.11095342154390785,-0.8415711152477163,2.283971810197859,-0.4160104969659987,-0.3409788778582933,1.2886298485446808,-0.3370990397177327,debt consolidation,Short Term,0.09198131715768283,-0.3553119857373067,-0.8828174605240435,-0.11748667384828905,1,0,0,0,0,0,0,0,0,0,0,-0.7828677136193471,0.028913885751749396,2.1757208089336904,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Rent,-1.3848398985640173,-0.11095342154390785,-1.0452953217017178,1.4176761990872377,-0.6926217063597452,-0.3409788778582933,-0.6983066109996929,-0.3370990397177327,debt consolidation,Short Term,0.002829760687826769,-0.49369591815588054,-1.1111427126991116,0.7371961785169,0,0,0,1,0,0,0,1,1,0,0,-0.7828677136193471,0.31164418971279223,1.451510527245306,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Own Home,0.2957474084710762,-0.11095342154390785,1.1956709492922981,-0.49953539927233476,0.3179463695136396,-0.3409788778582933,0.05231382927262605,-0.3370990397177327,debt consolidation,Short Term,-0.783103147140386,-0.43826112204396467,-0.09914951824413688,-0.3584199978603268,1,0,0,0,0,0,1,0,0,0,1,0.5803799882950024,1.1598351015959207,-0.7211203178198473,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Own Home,1.289338225254687,-0.11095342154390785,0.1770499170222909,0.9490244750437866,1.5855721969013457,-0.3409788778582933,1.9950961452715692,-0.3370990397177327,debt consolidation,Short Term,0.9253461905951279,3.036363470150352,1.6112355327536736,0.14058686754759483,0,0,0,0,0,0,1,1,0,0,1,1.9436276902093517,0.31164418971279223,0.7273002455569214,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Rent,0.09027610045115983,-0.11095342154390785,-1.656467941063722,1.6306997100160792,1.623814871427956,-0.3409788778582933,-0.6983066109996929,-0.3370990397177327,other,Short Term,-1.1730850457083093,-0.21784181369420397,0.32790171544209945,-0.07250336582906858,0,0,0,0,0,1,0,0,1,0,0,0.5803799882950024,1.1598351015959207,1.451510527245306,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Home Mortgage,-0.5760283254413775,-0.11095342154390785,1.8068435686543023,-0.35751972531977383,0.4378598404869099,-0.3409788778582933,-0.6983066109996929,-0.3370990397177327,other,Short Term,-1.417754400109383,0.19121824772504334,-0.10636067200361388,0.917129410593782,0,0,0,0,0,0,0,0,1,0,0,-0.7828677136193471,-1.102007330092422,0.003089963868537088,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Rent,-0.4887340313619031,-0.11095342154390785,-0.8415711152477163,-0.5421401014581031,-0.5945303265005294,-0.3409788778582933,-0.6983066109996929,-0.3370990397177327,debt consolidation,Short Term,0.002829760687826769,-0.2892166519115609,-1.0291368013413384,0.5572629464400181,0,0,0,1,0,0,0,0,1,0,0,-0.7828677136193471,0.5943744936738351,-0.7211203178198473,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Home Mortgage,-0.974651258947252,-0.11095342154390785,0.1770499170222909,0.16793826830470152,-0.09019155241159935,-0.3409788778582933,-0.6983066109996929,-0.3370990397177327,debt consolidation,Short Term,-0.8945265467312212,0.06532237377124173,-0.37795284673554386,0.827162794555341,0,0,0,0,0,0,0,0,1,0,0,-0.7828677136193471,1.1598351015959207,0.003089963868537088,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Rent,0.2957474084710762,-0.11095342154390785,-0.4341227023397134,0.04012416174739688,-0.9429275732471931,-0.3409788778582933,-0.43338174972710974,-0.3370990397177327,debt consolidation,Short Term,0.284918378891583,-0.9473271801119979,0.33855074483109454,-0.3584199978603268,1,0,0,0,0,0,1,0,0,0,1,0.5803799882950024,1.1598351015959207,0.003089963868537088,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Rent,-1.137768683552075,-0.11095342154390785,-0.6378469087937149,-0.6131479384343835,-0.8483471733939516,1.6647792271904904,-0.6983066109996929,2.545731972691612,debt consolidation,Short Term,0.002829760687826769,-0.5472016645862462,-1.0218417969567513,-0.11748667384828905,0,0,0,1,0,0,0,0,1,0,0,-0.7828677136193471,0.31164418971279223,-0.7211203178198473,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Own Home,-0.014792194300092099,-0.11095342154390785,-0.026674289431710546,0.3099539422572624,0.675202088890761,-0.3409788778582933,-0.6983066109996929,-0.3370990397177327,debt consolidation,Long Term,0.002829760687826769,2.0858496217991496,0.6904718184185938,-0.6123030620597143,0,0,0,1,0,0,0,0,1,0,0,0.5803799882950024,1.1598351015959207,0.003089963868537088,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Home Mortgage,0.3783787850990138,-0.11095342154390785,1.603119362200301,0.9490244750437866,1.798553645571438,-0.3409788778582933,-0.08014860136366553,-0.3370990397177327,debt consolidation,Short Term,-0.25615262257773785,1.3096609473017196,0.8328501798557094,0.19739648228625428,1,0,0,0,0,0,0,0,0,0,0,0.5803799882950024,1.1598351015959207,0.7273002455569214,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Home Mortgage,-0.4289765843677403,-0.11095342154390785,0.3807741234762923,0.3809617792335429,-1.1516958459101165,-0.3409788778582933,-0.21261103199995712,-0.3370990397177327,other,Short Term,-1.3398350411789257,-1.014234745382607,-0.36151812421394514,-0.3584199978603268,1,0,0,0,0,0,1,0,0,0,1,-0.7828677136193471,-1.6674679380145077,0.7273002455569214,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Rent,0.9957416807729866,-0.11095342154390785,-1.0452953217017178,-1.152807499454115,0.5699807188655671,-0.3409788778582933,-0.6983066109996929,-0.3370990397177327,take a trip,Short Term,-1.5468925798194986,1.6049070775095058,0.2955353741495632,0.01746325020937238,0,0,0,0,0,0,0,0,1,0,0,0.5803799882950024,-0.8192770261313791,-1.4453305995082317,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Rent,0.18232903655446123,-0.11095342154390785,-0.4341227023397134,1.8579247883401764,2.176713199753359,-0.3409788778582933,0.7146259824540839,-0.3370990397177327,buy a car,Short Term,-0.896323698337525,0.021969520401666498,-0.9470470393584549,0.14058686754759483,0,0,0,0,0,0,1,0,0,0,1,-0.7828677136193471,-1.6674679380145077,1.451510527245306,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Home Mortgage,0.2957474084710762,-0.11095342154390785,-0.6378469087937149,-0.5421401014581031,-0.3960789335474686,-0.3409788778582933,-0.08014860136366553,-0.3370990397177327,other,Long Term,2.091055743226896,-0.2315482193262711,0.044570453194741795,-0.3584199978603268,1,0,0,0,0,0,1,0,0,0,1,0.5803799882950024,0.028913885751749396,-0.7211203178198473,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Rent,-0.4289765843677403,-0.11095342154390785,0.3807741234762923,-0.04508524262413988,0.09356773959338514,-0.3409788778582933,-0.6983066109996929,-0.3370990397177327,debt consolidation,Short Term,-1.086179928746333,-0.15103577735420282,-0.6295885726912469,-0.3584199978603268,1,0,0,0,0,0,1,0,1,0,1,-0.7828677136193471,-0.25381641820929346,0.003089963868537088,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Rent,0.1607733336120928,-0.11095342154390785,0.7882225363842952,-0.10189151220516404,2.23337501554208,-0.3409788778582933,2.6132541549075965,-0.3370990397177327,debt consolidation,Short Term,-1.0994018298498538,-1.0221540019700235,-0.6804020515080266,1.2769958747475458,0,0,0,0,0,0,0,0,0,0,0,-0.7828677136193471,0.028913885751749396,0.003089963868537088,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Home Mortgage,-0.7409105444391431,10.935294298535414,0.1770499170222909,-1.5220482517307736,-0.5716279338461752,5.676295437288058,-0.6983066109996929,-0.3370990397177327,debt consolidation,Short Term,-0.7801506837871727,-0.4791772810789502,0.29796704227775894,0.24237979030547477,1,0,0,0,0,0,0,0,1,0,0,0.5803799882950024,0.31164418971279223,-1.4453305995082317,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Rent,-0.9767627093816653,-0.11095342154390785,0.3807741234762923,0.7644040989054572,-0.5667125618378114,-0.3409788778582933,2.171712719453291,-0.3370990397177327,debt consolidation,Long Term,-0.36808949405608843,-0.2765255355855728,-0.30558975726544335,-2.3216687667900926,1,0,0,0,0,0,0,0,0,0,0,-0.7828677136193471,1.1598351015959207,0.7273002455569214,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Rent,0.08564351516968592,-0.11095342154390785,1.8068435686543023,-0.47113226448182266,0.47356380639381607,-0.3409788778582933,-0.25676517554538764,-0.3370990397177327,debt consolidation,Short Term,-0.39594534395379727,0.30188478208765923,-0.779848892888721,-0.0275200578098481,0,0,0,0,0,0,0,0,0,0,0,-0.7828677136193471,1.1598351015959207,-0.7211203178198473,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Own Home,2.156850334586762,-0.11095342154390785,2.2142919815623054,-1.0533965276873225,0.1338089719695502,-0.3409788778582933,0.5380094082723619,-0.3370990397177327,debt consolidation,Long Term,0.10340606665489982,0.27030928466860094,-0.37485037360646656,-0.3584199978603268,1,0,0,0,0,0,1,0,0,0,1,-0.7828677136193471,-0.5365467221703363,-0.7211203178198473,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Home Mortgage,-0.8100053963413986,-0.11095342154390785,-0.23039849588571198,-1.2664200386161637,-0.5447284254927117,-0.3409788778582933,-0.6983066109996929,-0.3370990397177327,debt consolidation,Short Term,-0.6882392159219215,-0.4497338912026579,-0.5268715569312548,-0.3584199978603268,1,0,0,0,0,0,1,0,1,0,1,-0.7828677136193471,1.1598351015959207,-1.4453305995082317,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Have Mortgage,0.058950999976431454,-0.11095342154390785,1.1956709492922981,-0.41432599490079824,-0.226822689721008,1.6647792271904904,0.8470884130903755,-0.3370990397177327,take a trip,Short Term,-1.6103063579276466,2.171438510301613,1.3451774992790166,0.3323464063439157,0,0,0,0,1,0,0,0,0,0,0,1.9436276902093517,1.1598351015959207,-0.7211203178198473,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Home Mortgage,0.6111110456682987,-0.11095342154390785,-0.23039849588571198,0.43776804881456705,1.3111215905881985,1.6647792271904904,-0.6983066109996929,2.545731972691612,debt consolidation,Long Term,2.7132553029236455,1.8444138248135526,0.8873530861773378,0.14058686754759483,0,0,0,0,0,0,1,0,1,0,1,0.5803799882950024,1.1598351015959207,0.7273002455569214,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Home Mortgage,0.7011785880795398,-0.11095342154390785,-1.0452953217017178,1.2756605251346769,-0.7536047283096651,-0.3409788778582933,-0.43338174972710974,-0.3370990397177327,debt consolidation,Short Term,0.002829760687826769,-0.687920762408802,0.43707522933557674,0.06244655822859286,0,0,0,1,0,0,0,0,0,0,0,0.5803799882950024,1.1598351015959207,1.451510527245306,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Own Home,0.2957474084710762,-0.11095342154390785,1.3993951557462996,-0.04508524262413988,2.153054596020795,-0.3409788778582933,-0.6983066109996929,-0.3370990397177327,debt consolidation,Short Term,-0.5461358710520429,1.9368051516667457,0.4800067493919979,0.14058686754759483,0,0,0,0,0,0,1,0,1,0,1,0.5803799882950024,-0.25381641820929346,0.003089963868537088,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Home Mortgage,-0.04526641176393752,-0.11095342154390785,0.5844983299302937,0.054325729142652664,-0.7804502215861134,-0.3409788778582933,0.5821635518177923,-0.3370990397177327,home improvements,Long Term,0.0858196545074984,-0.8303658520516919,0.5610064532484488,-0.3584199978603268,1,0,0,0,0,0,1,0,0,0,1,0.5803799882950024,0.5943744936738351,0.003089963868537088,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Rent,-0.7393663493453184,-0.11095342154390785,-0.6378469087937149,-0.1871009165767008,-0.9545948298824303,-0.3409788778582933,-0.12430274490909606,-0.3370990397177327,debt consolidation,Short Term,0.26989932618175844,-0.7576711377364324,0.05848965696303459,-0.3584199978603268,1,0,0,0,0,0,1,0,0,0,1,0.5803799882950024,-0.25381641820929346,0.003089963868537088,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Rent,-1.0495604780905412,-0.11095342154390785,-1.0452953217017178,0.5513805879766159,-0.7142277371657398,-0.3409788778582933,-0.6983066109996929,-0.3370990397177327,debt consolidation,Long Term,-0.5180232852105764,-0.36851074671633427,-0.7492434147234989,-0.25243659790595047,0,0,0,0,0,0,0,0,1,0,0,-0.7828677136193471,-0.8192770261313791,0.7273002455569214,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Home Mortgage,0.36980692661900766,-0.11095342154390785,0.1770499170222909,-1.1244043646636028,0.8110500075834525,-0.3409788778582933,-0.6983066109996929,-0.3370990397177327,debt consolidation,Short Term,-1.032393748529098,-0.03925242475489993,0.176215934617752,0.917129410593782,1,0,0,0,0,0,0,0,1,0,0,0.5803799882950024,-0.8192770261313791,-1.4453305995082317,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Rent,-0.6338568559958309,-0.11095342154390785,-0.6378469087937149,-1.2522184712209077,-0.015650746130917804,-0.3409788778582933,-0.6983066109996929,-0.3370990397177327,debt consolidation,Short Term,-0.2553824147464648,-0.3574440932800727,-0.43413276555937624,1.0070960266322229,0,0,0,0,0,0,0,0,1,0,0,-0.7828677136193471,-0.8192770261313791,-1.4453305995082317,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Home Mortgage,1.6223067186387308,-0.11095342154390785,1.603119362200301,2.283971810197859,2.7381999253241447,-0.3409788778582933,-0.3450734626362487,-0.3370990397177327,debt consolidation,Long Term,2.6830888295321174,0.09507035043935776,-0.3710770954765077,-0.6572863700789348,0,0,0,0,0,0,0,0,0,0,0,-0.7828677136193471,1.1598351015959207,2.1757208089336904,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Home Mortgage,-0.4289765843677403,-0.11095342154390785,-0.8415711152477163,-0.10189151220516404,-0.6795500577221184,1.6647792271904904,2.436637580725874,2.545731972691612,debt consolidation,Short Term,-0.7793804759558995,-0.5351197218439055,-1.2198131228419278,-0.3584199978603268,1,0,0,0,0,0,1,0,0,0,1,-0.7828677136193471,1.1598351015959207,0.003089963868537088,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Rent,0.2957474084710762,-0.11095342154390785,-0.8415711152477163,-0.04508524262413988,-1.182052319192539,-0.3409788778582933,-0.12430274490909606,-0.3370990397177327,small business,Long Term,-1.043048290195042,-1.1267288004961653,0.0030643937651939845,0.14058686754759483,0,0,0,0,0,0,1,0,0,0,1,0.5803799882950024,0.028913885751749396,0.003089963868537088,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Rent,0.3686409017522421,-0.11095342154390785,-0.8415711152477163,0.12533356611893312,-0.2748691007258386,-0.3409788778582933,-0.6983066109996929,-0.3370990397177327,home improvements,Short Term,0.9280419180045836,-1.321562818332734,-0.45694013558935,1.1870292587091047,0,0,0,0,0,0,0,0,1,0,0,-0.7828677136193471,1.1598351015959207,0.003089963868537088,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Rent,-0.9606274463604773,-0.11095342154390785,-0.8415711152477163,-0.28651188834349334,-1.3092578255628324,1.6647792271904904,-0.6983066109996929,-0.3370990397177327,debt consolidation,Long Term,-1.387716294689734,-1.1890675638894186,-0.47983135624443396,0.01746325020937238,1,0,0,0,0,0,0,0,1,0,0,-0.7828677136193471,-1.102007330092422,0.003089963868537088,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
